Hundebestand nach Gemeindebezirken seit 2007;;;;;;;;;;;;;
Gemeindebezirk;Registrierte Hunde zum Stichtag 1.1. *;;;;;;;;;;;;
;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018 **;2019
Wien;51149;51392;52071;53345;55955;56872;56619;61861;55693;55800;55705;55099;55604
1. Innere Stadt;522;511;513;502;518;524;497;528;467;454;474;463;474
2. Leopoldstadt;2354;2320;2328;2377;2537;2603;2559;2786;2511;2538;2507;2472;2490
3. Landstraße;1925;1950;1981;2007;2087;2131;2106;2304;2088;2081;2114;2093;2156
4. Wieden;623;604;610;628;656;658;643;692;617;618;618;644;658
5. Margareten;973;986;969;999;1039;1052;1026;1134;1022;979;969;946;952
6. Mariahilf;607;611;604;601;612;638;662;741;643;658;646;615;649
7. Neubau;562;558;535;555;593;581;580;659;599;612;610;577;578
8. Josefstadt;465;454;463;471;506;496;454;476;438;453;459;453;484
9. Alsergrund;815;817;824;839;870;891;869;937;854;850;854;813;873
10. Favoriten;4975;4978;5128;5222;5527;5668;5613;6108;5417;5340;5268;5166;5138
11. Simmering;3166;3210;3278;3496;3665;3717;3682;3997;3577;3553;3545;3453;3489
12. Meidling;2364;2362;2358;2380;2441;2448;2410;2618;2352;2318;2339;2348;2388
13. Hietzing;1948;1887;1881;1897;1969;2009;1983;2185;1976;1986;1980;1980;1996
14. Penzing;2744;2713;2763;2801;2916;2925;2891;3198;2838;2826;2816;2796;2822
15. Rudolfsheim-Fünfhaus;1256;1237;1279;1291;1328;1359;1384;1527;1338;1357;1326;1300;1315
16. Ottakring;2007;1982;2034;2061;2122;2139;2138;2320;2089;2105;2040;1987;2004
17. Hernals;1365;1372;1358;1380;1469;1496;1463;1609;1451;1431;1399;1381;1393
18. Währing;1359;1351;1356;1365;1374;1394;1368;1480;1330;1319;1300;1278;1321
19. Döbling;2549;2545;2526;2593;2750;2790;2803;3035;2735;2718;2721;2667;2646
20. Brigittenau;1898;1933;1954;1955;2032;2065;2027;2189;1985;1911;1931;1865;1878
21. Floridsdorf;6077;6274;6380;6681;7061;7142;7095;7743;7031;7101;7131;7147;7131
22. Donaustadt;6838;6932;7021;7239;7735;7932;8125;9003;8201;8475;8518;8523;8567
23. Liesing;3757;3805;3928;4005;4148;4214;4241;4592;4134;4117;4140;4132;4202
Quelle: MA 6.;;;;;;;;;;;;;
* Stichtag ab dem Jahr 2016: 1.9.;;;;;;;;;;;;;
** korrigierte Zahlen lt. Email v. MA 6 v. 25.9.2019;;;;;;;;;;;;;
